,precision,recall,f1-score,support
COLLABORATION_AGREEMENT,0.6388888888888888,0.5348837209302325,0.5822784810126582,43.0
DEVELOPMENT_AGREEMENT,0.5833333333333334,0.5185185185185185,0.5490196078431373,27.0
DISTRIBUTOR_AGREEMENT,0.7837837837837838,0.8787878787878788,0.8285714285714286,33.0
LICENSE_AGREEMENT,0.7647058823529411,0.7647058823529411,0.7647058823529411,34.0
MAINTENANCE_AGREEMENT,0.6666666666666666,0.6206896551724138,0.6428571428571429,29.0
SERVICE_AGREEMENT,0.6190476190476191,0.7647058823529411,0.6842105263157895,34.0
SPONSORSHIP_AGREEMENT,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.6985370724866522,0.7022321244926084,0.6978537717552044,230.0
weighted avg,0.6976871281219107,0.7,0.6961320707641746,230.0
